certificates
claims
epitaphs
landscapes
military records
muster rolls
oil paintings
payrolls
promissory notes
writs
proposals
receipts (financial documents)
picture postcards
photographs
minutes (administrative records)
notes
petitions
reports
speeches
statistics
memorandums
manuscripts
correspondence
decrees
deeds
contracts
circular letters
cashbooks
diaries
letter books
letters to the editor
lists (document genre)
instructions (document genre)
estimates
drafts (documents)
essays
accounts
data (information)
research (document genres)
research (function)
research notes
